Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID,Reg Cap generation (MW),Max Cap generation (MW),Max ROC/Min generation,Reg Cap consumption (MW),Max Cap consumption (MW),Max ROC/Min consumption,Maximum storage capacity,Latitude,Longitude
Origin Energy Electricity Limited,Eraring BESS,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,140,Y,ERB01,614.6,460,184,614.6,460,184,1073,-33.06223,151.521359
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Queanbeyan BESS,NSW1,Generating Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-8,Y,QBYNBG1,10,10,8,,,,,-35.319,149.2338
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Queanbeyan BESS,NSW1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-8,Y,QBYNBL1,10,10,8,,,,,-35.319,149.2338
Shell Energy Retail Pty Ltd,Koorangie BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-100,Y,KESSB1,185,185,74,185,185,74,370,-35.733,143.921
Shell Energy Retail Pty Ltd,Rangebank BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-64,Y,RANGEB1,260,200,80,260.8,200,80,400,-38.0848,145.2653
Shell Energy Retail Pty Ltd,Riverina BESS 1,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-48,Y,RESS1,80,60,192,80,60,192,120,-34.6,146
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,ADPBA1,7.76,6.15,4,7,6,4,6,-35.1018,138.4839
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1-3, 4-5",Y,BOWWBA1,3,2,2,3,2,2,2,-34.775,138.5889
South Australian Water Corporation,Happy Valley Water Treatment Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1-5,6-9",Y,HVWWBA1,5,4,2,5,4,2,4,-35.073,138.572
South Australian Water Corporation,Christies Beach Wastewater Treatment Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-5,Y,CBWWBA1,2.16,2.14,2,2,2,2,2,-35.1245,138.4725
